yfeK	G7260
mepS	G7147
yeeN	G7068
pbpG	EG12015
yeaW	G6988
murE	EG10621
ydgK	G6870
mepM	EG10013
smrA	G6672
ldtE	G6904
gfcB	G6507
mrdA	EG10606
ybiT	G6423
ldtC	G6571
ybbO	G6269
murA	EG11358
yaeQ	G6098
mepA	EG10580
ymcF	G0-16688
murI	EG11204
arrS	G0-10694
ftsI	EG10341
ymdF	G0-10443
mtgA	G7668
nudK	EG12410
ybjG	G6439
bcsE	EG12263
mrcA	EG10748
yehS	EG12005
dacC	EG10203
yeeD	EG11894
pbpC	G7322
yidX	EG11719
elyC	EG12166
ybfB	EG11522
murF	EG10622
lolB	EG11293
ampC	EG10040
yhaC	EG11174
mipA	G6968
yhfS	G7728
amiA	EG11823
ybgC	EG11110
murC	EG10619
yqjF	G7615
amiB	EG11363
aroM	EG10083
mraY	EG10604
ssnA	G7498
murB	EG11205
ygaM	G7400
mepK	G6474
yfcZ	G7214
ddlA	EG10213
yedP	G7048
amiC	G7458
dgcP	G6980
ispU	G6092
yeiI	EG12028
murG	EG10623
ybbD	EG11770
dacA	EG10201
yjgR	G7890
ldtA	G7073
yhhH	EG11520
dacD	EG11893
yheT	G7718
murD	EG10620
yqhG	G7566
opgG	EG11885
ygeQ	G7483
opgC	G6552
yqaA	G7407
wecF	G7800
yfdF	G7215
rffM	EG11458
yoeA	G7075
wecB	EG11451
ydjI	G6960
rfe	EG10840
ydhI	G6883
wecE	EG11456
mokB	G6736
wecC	EG11452
ymgC	G6607
wzyE	EG11457
ybjM	G6446
wzzE	EG11295
yahE	G6184
lpxP	G7241
ynaL	G0-8900
arnC	G7167
yhgO	G0-17034
pagP	EG12180
yffB	EG11147
lpxB	EG10546
ymiD	G0-17018
lpxL	EG10464
yneP	G0-16741
arnA	G7168
yahV	G0-16725
lpxH	EG12666
ythA	G0-10616
lpxM	EG10614
ymiA	G0-10512
lpxC	EG10265
yceK	EG12689
arnT	G7170
yiaD	EG12271
arnB	G7166
yehR	EG12004
lpxA	EG10545
ydcD	EG11760
lpxD	EG10316
bdcA	G7880
hldE	G7590
yigE	EG11462
eptB	EG12267
aaeX	G7687
kdsB	EG10519
yghJ	G7541
waaZ	EG11426
ygeI	G7473
lpxK	EG11409
yphG	G7343
waaP	EG11340
yfbP	G7182
kdsD	G7662
yodC	G7050
gutQ	EG10973
ydjZ	G6947
gmhA	G6106
ydfZ	G6815
waaA	EG10520
ynbE	G6704
gmhB	EG11736
ycgX	G6601
waaU	EG11423
ybhK	G6402
waaQ	EG11341
ykgE	G6176
waaC	EG11189
ythB	G0-17048
ais	G7165
yqgH	G0-17031
rfaD	EG10838
yaiA	EG11093
waaF	EG12210
ybiE	G0-17015
kdsA	EG10518
ynaM	G0-16738
waaY	EG11425
yacM	G0-16722
waaS	EG11350
yibV	G0-10605
waaG	EG11339
ypjJ	G0-10464
wbbH	EG11982
sgcX	EG12557
rfbC	EG11979
yhjJ	EG12254
rffH	EG11454
wbbK	EG11985
glmS	EG10382
yidI	EG11697
wzzB	G7090
yjfJ	G7847
wbbI	EG11983
ychE	EG11342
rfbX	EG11980
yhcC	G7669
glmM	EG11553
yghE	G7536
glmU	EG11198
tas	G7462
rfbD	EG12411
yfhR	G7328
glf	EG11981
yfbL	G7178
rfbA	EG11978
yecH	G7036
wcaD	G7101
yniB	G6931
wcaJ	G7098
ydeQ	G6792
wcaM	G7094
ycjY	G6663
ypdI	G7239
ycdU	G6536
gmm	EG11789
ybdR	G6335
wzc	G7105
yafP	G6118
wcaC	G7102
ysgD	G0-17045
rcsA	EG10820
pssL	G0-17028
wcaF	G7099
rhsC	EG10848
wcaL	G7095
yadX	G0-17011
wcaI	EG11790
ymgM	G0-16735
wzb	G7106
ykgS	G0-16674
wcaB	G7103
ypaB	G0-10596
rcsB	EG10821
yoeF	G0-10456
wcaE	G7100
ychO	EG12405
wcaK	G7096
yhhN	EG12214
cpsG	EG10162
yjbJ	EG11928
ugd	G7091
yjjY	G7954
wza	G7107
modF	EG11677
fcl	EG11788
yzcX	G7802
wcaA	G7104
yraQ	G7645
rcsC	EG10822
yqgC	G7522
citD	G6343
yqcA	G7448
acpH	EG11095
hyfJ	G7307
acpP	EG50003
yeiS	G7144
accB	EG10275
yebW	G7010
grxA	EG10417
ydiH	G6911
grxC	EG12294
yddK	G6772
trxA	EG11031
yciW	G6640
grxB	EG12688
cspH	G6510
trxC	EG11887
ykiA	G6231
nrdH	G7401
yafT	G6101
grxD	EG12181
yibY	G0-17042
ccmD	EG12169
yoaM	G0-17025
ccmE	EG12055
dedA	EG10216
ccmH	EG12052
yqhI	G0-16749
dsbD	EG12178
ymdG	G0-16732
ccmC	EG12057
ykgR	G0-10654
ccmG	EG12053
ymgJ	G0-10590
yceJ	G6554
ykfH	G0-10432
ccmB	EG12058
ygdG	EG12372
ccmF	EG12054
yajG	EG12182
csgF	G6544
yihG	EG11833
csgC	G6548
yjiS	G7937
rfaH	EG10839
ybiB	EG11580
csgA	EG11489
yzgL	G7752
fliP	EG11975
ygjR	G7606
fliJ	G378
ygfS	G7505
fliG	EG11654
ygcW	G7440
flgI	G365
yfeN	G7256
fliS	EG11388
yegU	G7131
flgF	G362
yoaG	G6982
fliN	EG10324
ydhX	G6899
flgC	G359
ydcY	G6757
flhD	EG10320
ycgY	G6625
fliK	G379
ybjD	G6459
fliH	EG11656
yaiX	G6214
flgJ	G366
yaaY	G6087
fliT	EG11389
yriB	G0-17038
flgG	G363
psiE	EG11209
fliD	EG10841
ynfU	G0-17022
flgD	G360
yecU	G0-16746
fliC	EG10321
yldA	G0-16729
flgA	G357
ynbG	G0-10646
flgN	G6562
ylcI	G0-10585
flgK	EG11967
yecF	EG12861
flhA	G370
ycfH	EG12303
flgL	EG11545
rssA	EG12120
flgH	G364
yeiP	EG12035
fliO	EG11224
yfiF	EG11786
flgE	G361
yjiC	G7922
fliM	EG10323
ybfA	EG11521
flgB	G358
yhfL	G7722
flhC	EG10319
yqiB	G7580
fimH	EG10315
ygeW	G7489
fliQ	EG11976
ygbM	G7420
csgB	G6547
yfdC	G7217
lnt	EG10168
yeeZ	G7089
ybaY	G6250
ydjJ	G6961
clsC	G6551
ydhF	G6887
pgpA	EG10704
ydcK	G6741
opgB	EG12591
ymgD	G6611
clsA	EG11608
ybjO	G6448
psd	EG10775
yahF	G6185
pgpB	EG10705
ydaE	G0-9081
gnsA	G0-9662
yhgP	G0-17035
plsY	EG11674
yfiB	EG11152
plsX	EG11437
ynaN	G0-17019
pssA	EG10781
ynfT	G0-16742
pgsA	EG10706
ykiC	G0-16726
clsB	G6406
ilvX	G0-10641
lgt	EG12128
yciX	G0-10513
pgpC	EG11371
hcxA	EG12692
plsB	EG10740
ysaA	EG12277
aas	EG11679
yohJ	EG12023
fabB	EG10274
yibI	EG11765
fabI	EG11528
yjgL	G7884
dgkA	EG10224
yigZ	EG11484
fabG	EG11318
yhdU	G7694
cysQ	EG10043
glcG	G7543
arpA	EG11208
ygeL	G7476
gnsB	G6823
ypjD	G7355
glpF	EG10396
yfcD	G7191
acpT	EG12221
drpB	G7051
accC	EG10276
ynjF	G6953
cfa	EG11531
ydfI	G6816
acpS	EG10247
ynbC	G6729
plsC	EG11377
ycgZ	G6604
cdsA	EG10139
ybhQ	G6408
fabZ	EG11284
ykgF	G6177
fabF	EG12606
yncL	G0-8887
fabH	EG10277
yqhJ	G0-17032
accA	EG11647
yceD	EG11119
fabA	EG10273
yljB	G0-17016
accD	EG10217
yncO	G0-16739
fabD	EG11317
yadW	G0-16723
ribE	EG11322
yjbS	G0-10607
ribF	EG11079
yibT	G0-10468
ribA	EG11331
yabP	EG12610
yigB	EG11202
bcsF	EG12264
ribC	EG11406
yehF	EG11992
ribD	EG11321
cbrB	EG11726
ribB	EG10465
yjfZ	G7862
ybjI	G6442
yijD	EG11395
thiE	EG11586
yhcD	G7670
thiP	EG11573
yghF	G7537
thiD	G7135
yqeF	G7464
thiI	G6238
csiE	G7329
thiS	G1
yfbM	G7179
thiF	EG11587
yedN	G7043
thiB	EG11574
ydjO	G6935
thiM	M007
ydeT	G6795
cof	G6246
hslJ	G6702
thiL	G6234
yceQ	G6563
thiG	EG11589
ybfP	G6374
thiC	EG11585
ykgJ	G6159
thiQ	EG11572
ytgA	G0-17046
thiK	G6566
yfiS	G0-17029
thiH	EG11590
usg	EG11059
nadE	EG10663
ytiB	G0-17013
pncC	G7409
ymiC	G0-16736
nadK	EG12192
rzoQ	G0-16675
rffG	EG11453
ygdT	G0-10601
pncB	EG10742
ypdJ	G0-10461
nadA	EG10630
ygiM	EG12434
rfbB	EG12412
yhiL	EG12227
nadC	EG11546
yjbL	EG11930
pncA	EG11135
yicG	EG11683
nadB	EG10631
ysgA	G7804
nadD	G6350
yeiB	EG11290
gmd	EG11787
yraR	G7646
nadR	EG11335
yqgD	G7523
pdxH	EG11487
ygdI	G7453
nudL	EG12693
yfgG	G7315
pdxA	EG10691
yfaQ	G7153
pdxB	G0-9461
yecN	G7019
pdxJ	EG10693
ydiJ	G6913
coaD	EG11190
yddL	G6773
coaE	EG12312
ymjA	G6642
panB	EG11675
ymcE	G6512
panF	EG10685
ylaC	G6253
panE	G6239
yafJ	G6107
panC	EG11746
yicU	G0-17043
coaA	EG10922
yodE	G0-17026
dfp	EG10004
hemY	EG10434
panD	EG11747
yqiD	G0-16750
mog	EG11511
ymgK	G0-16733
modC	EG10152
yqfG	G0-10656
modE	G6395
yciZ	G0-10591
moaE	EG11598
ycgI	G0-10444
moaA	EG11595
yecD	EG12378
moeA	EG10153
yccE	EG12196
mocA	G7496
fabY	EG11853
tusA	EG12216
yjiT	G7938
moaC	EG11666
smg	EG11605
moaB	EG11596
yhgN	G7753
